,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,0982e3bb-9e45-44e7-b36c-0a064cf42f4f,45160184-3fb6-4ddc-8aee-a8921cbeaab7,Fully Paid,268708.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,16969.28,15.7,61.0,12.0,1.0,177251.0,295724.0,1.0,0.0
2,e4954246-cba6-4f8a-905e-f4bc7816af4c,ad08a25b-efb7-4264-8694-e8c24d61faed,Fully Paid,220022.0,Short Term,724.0,1174162.0,0 years,Home Mortgage,Debt Consolidation,10229.22,15.1,15.0,13.0,0.0,272403.0,497508.0,0.0,0.0
3,edd3c21b-416d-46de-a59b-75b46f2d1186,9a8e78f9-8f1f-4482-a4c4-d141bb8974ab,Charged Off,708268.0,Long Term,676.0,2075807.0,4 years,Rent,Debt Consolidation,22141.84,15.3,300.0,15.0,0.0,275842.0,600380.0,0.0,0.0
4,9201e47f-5c7a-483a-985f-483e9ee789cd,ec9bc685-91c6-47be-b383-dd7e76072587,Fully Paid,286132.0,Long Term,713.0,1351413.0,4 years,Home Mortgage,Debt Consolidation,6374.31,13.2,35.0,8.0,0.0,149378.0,246026.0,0.0,0.0
7,9834c3a7-cbfd-425b-aed5-c3d473e6c112,f8b9502c-fa78-4eff-b126-a8a5927e7f0f,Fully Paid,277178.0,Short Term,706.0,1215620.0,10+ years,Home Mortgage,Debt Consolidation,16815.95,20.2,300.0,9.0,0.0,353172.0,476586.0,0.0,0.0
9,3a09854e-5984-4aff-895d-1212725cb1bb,ba41f7d3-5151-4d48-8869-b167cac1ae20,Fully Paid,531476.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,31317.89,26.9,8.0,9.0,0.0,55841.0,261800.0,0.0,0.0
10,1cad7323-0582-428b-ad0e-5169739a39ca,21fa5ff4-fa56-43ac-a551-be1569eed9bb,Charged Off,442244.0,Short Term,743.0,1241308.0,6 years,Home Mortgage,Debt Consolidation,9496.01,21.0,13.0,11.0,0.0,468996.0,961158.0,0.0,0.0
11,71ac35f2-6fed-4f9d-9cf6-d024ecd62c40,f34ebb63-e34a-4aa1-ab9d-1d987c08cad7,Fully Paid,107360.0,Short Term,724.0,1174162.0,6 years,Home Mortgage,Debt Consolidation,28184.03,27.6,300.0,14.0,0.0,471618.0,910140.0,0.0,0.0
12,18a7c1c5-1e64-4160-86dd-7475d2f365af,c2f720c7-0037-46fa-803c-d0df19a02068,Charged Off,406252.0,Short Term,724.0,1174162.0,2 years,Home Mortgage,Debt Consolidation,21049.34,19.4,77.0,9.0,1.0,129238.0,185658.0,1.0,0.0
13,0d5f3e94-fefe-4116-b3fe-d9bd1c311dbb,af48c161-d1ca-494b-ba58-f6c4b6f99dce,Fully Paid,214698.0,Short Term,734.0,1404233.0,7 years,Home Mortgage,Home Improvements,10871.04,25.3,300.0,12.0,1.0,141227.0,675752.0,1.0,0.0
